name,weaknesses,resistances
ash-greninja,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
audino,Fighting,Ghost
aurorus,"Fighting, Grass, Ground, Rock, Steel, Water","Flying, Ice, Normal, Poison"
avalugg,"Fighting, Fire, Rock, Steel",Ice
axew,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
azelf,"Bug, Dark, Ghost","Fighting, Psychic"
azumarill,"Electric, Grass, Poison","Bug, Dark, Dragon, Fighting, Fire, Ice, Water"
azurill,"Poison, Steel","Bug, Dark, Dragon, Ghost"
bagon,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
baltoy,"Bug, Dark, Ghost, Grass, Ice, Water","Electric, Fighting, Poison, Psychic, Rock"
banette,"Dark, Ghost","Bug, Fighting, Normal, Poison"
barbaracle,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
barboach,Grass,"Electric, Fire, Poison, Rock, Steel"
barraskewda,"Electric, Grass","Fire, Ice, Steel, Water"
basculegion-female,"Dark, Electric, Ghost, Grass","Bug, Fighting, Fire, Ice, Normal, Poison, Steel, Water"
basculegion-male,"Dark, Electric, Ghost, Grass","Bug, Fighting, Fire, Ice, Normal, Poison, Steel, Water"
basculin,"Electric, Grass","Fire, Ice, Steel, Water"
bastiodon,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
baxcalibur,"Dragon, Fairy, Fighting, Rock, Steel","Electric, Grass, Water"
bayleef,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
beartic,"Fighting, Fire, Rock, Steel",Ice
beautifly,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
beedrill,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
beheeyem,"Bug, Dark, Ghost","Fighting, Psychic"
beldum,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
bellibolt,Ground,"Electric, Flying, Steel"
bellossom,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
bellsprout,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
bergmite,"Fighting, Fire, Rock, Steel",Ice
bewear,"Fairy, Fighting, Flying, Psychic","Bug, Dark, Ghost, Rock"
bibarel,"Electric, Fighting, Grass","Fire, Ghost, Ice, Steel, Water"
bidoof,Fighting,Ghost
binacle,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
bisharp,"Fighting, Fire, Ground","Dark, Dragon, Flying, Ghost, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
blacephalon,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
black-kyurem,"Dragon, Fairy, Fighting, Rock, Steel","Electric, Grass, Water"
blastoise,"Electric, Grass","Fire, Ice, Steel, Water"
blaziken,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
blipbug,"Fire, Flying, Rock","Fighting, Grass, Ground"
blissey,Fighting,Ghost
blitzle,Ground,"Electric, Flying, Steel"
bloodmoon-ursaluna,"Fighting, Grass, Ice, Water","Electric, Ghost, Poison, Rock"
boldore,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
boltund,Ground,"Electric, Flying, Steel"
bombirdier,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
bonsly,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
bouffalant,Fighting,Ghost
bounsweet,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
braixen,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
brambleghast,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
bramblin,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
braviary,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
breloom,"Fairy, Fire, Flying, Ice, Poison, Psychic","Dark, Electric, Grass, Ground, Rock, Water"
brionne,"Electric, Grass","Fire, Ice, Steel, Water"
bronzong,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
bronzor,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
brute-bonnet,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
bruxish,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
budew,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
buizel,"Electric, Grass","Fire, Ice, Steel, Water"
bulbasaur,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
buneary,Fighting,Ghost
bunnelby,Fighting,Ghost
burmy-plant-cloak,"Fire, Flying, Rock","Fighting, Grass, Ground"
burmy-sandy-cloak,"Fire, Flying, Rock","Fighting, Grass, Ground"
burmy-trash-cloak,"Fire, Flying, Rock","Fighting, Grass, Ground"
butterfree,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
buzzwole,"Fairy, Fire, Flying, Psychic","Bug, Dark, Fighting, Grass, Ground"
cacnea,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
cacturne,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
calyrex-ice-rider,"Bug, Dark, Fire, Ghost, Rock, Steel","Ice, Psychic"
calyrex-shadow-rider,"Dark, Ghost","Fighting, Normal, Poison, Psychic"
calyrex,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
camerupt,"Ground, Water","Bug, Electric, Fairy, Fire, Poison, Steel"
capsakid,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
carbink,"Grass, Ground, Steel, Water","Bug, Dark, Dragon, Fire, Flying, Normal"
carkol,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Flying, Ice, Normal, Poison"
carnivine,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
carracosta,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
carvanha,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
cascoon,"Fire, Flying, Rock","Fighting, Grass, Ground"
castform-rainy,"Electric, Grass","Fire, Ice, Steel, Water"
castform-snowy,"Fighting, Fire, Rock, Steel",Ice
castform-sunny,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
castform,Fighting,Ghost
caterpie,"Fire, Flying, Rock","Fighting, Grass, Ground"
celebi,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
celesteela,"Electric, Fire","Bug, Dragon, Fairy, Flying, Grass, Ground, Normal, Poison, Psychic, Steel"
centiskorch,"Flying, Rock, Water","Bug, Fairy, Fighting, Grass, Ice, Steel"
ceruledge,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
cetitan,"Fighting, Fire, Rock, Steel",Ice
cetoddle,"Fighting, Fire, Rock, Steel",Ice
chandelure,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
chansey,Fighting,Ghost
charcadet,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
charizard,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
charjabug,"Fire, Rock","Electric, Fighting, Grass, Steel"
charmander,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
charmeleon,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
chatot,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
cherrim-overcast-form,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
cherrim-sunshine-form,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
cherubi,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
chesnaught,"Fairy, Fire, Flying, Ice, Poison, Psychic","Dark, Electric, Grass, Ground, Rock, Water"
chespin,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
chewtle,"Electric, Grass","Fire, Ice, Steel, Water"
chi-yu,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
chien-pao,"Bug, Fairy, Fighting, Fire, Rock, Steel","Dark, Ghost, Ice, Psychic"
chikorita,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
chimchar,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
chimecho,"Bug, Dark, Ghost","Fighting, Psychic"
chinchou,"Grass, Ground","Fire, Flying, Ice, Steel, Water"
chingling,"Bug, Dark, Ghost","Fighting, Psychic"
cinccino,Fighting,Ghost
cinderace,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
clamperl,"Electric, Grass","Fire, Ice, Steel, Water"
clauncher,"Electric, Grass","Fire, Ice, Steel, Water"
clawitzer,"Electric, Grass","Fire, Ice, Steel, Water"
claydol,"Bug, Dark, Ghost, Grass, Ice, Water","Electric, Fighting, Poison, Psychic, Rock"
clefable,"Poison, Steel","Bug, Dark, Dragon, Fighting"
clefairy,"Poison, Steel","Bug, Dark, Dragon, Fighting"
cleffa,"Poison, Steel","Bug, Dark, Dragon, Fighting"
clobbopus,"Fairy, Flying, Psychic","Bug, Dark, Rock"
clodsire,"Ground, Ice, Psychic, Water","Bug, Electric, Fairy, Fighting, Poison, Rock"
cloyster,"Electric, Fighting, Grass, Rock","Ice, Water"
coalossal,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Flying, Ice, Normal, Poison"
cobalion,"Fighting, Fire, Ground","Bug, Dark, Dragon, Grass, Ice, Normal, Poison, Rock, Steel"
cofagrigus,"Dark, Ghost","Bug, Fighting, Normal, Poison"
combee,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
combusken,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
comfey,"Poison, Steel","Bug, Dark, Dragon, Fighting"
conkeldurr,"Fairy, Flying, Psychic","Bug, Dark, Rock"
copperajah,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
corphish,"Electric, Grass","Fire, Ice, Steel, Water"
corsola,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
corviknight,"Electric, Fire","Bug, Dragon, Fairy, Flying, Grass, Ground, Normal, Poison, Psychic, Steel"
corvisquire,"Electric, Ice, Rock","Bug, Fighting, Grass, Ground"
cosmoem,"Bug, Dark, Ghost","Fighting, Psychic"
cosmog,"Bug, Dark, Ghost","Fighting, Psychic"
cottonee,"Fire, Flying, Ice, Poison, Steel","Dark, Dragon, Electric, Fighting, Grass, Ground, Water"
crabominable,"Fairy, Fighting, Fire, Flying, Psychic, Steel","Bug, Dark, Ice"
crabrawler,"Fairy, Flying, Psychic","Bug, Dark, Rock"
cradily,"Bug, Fighting, Ice, Steel","Electric, Normal"
cramorant,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
cranidos,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
crawdaunt,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
cresselia,"Bug, Dark, Ghost","Fighting, Psychic"
croagunk,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
crobat,"Electric, Ice, Psychic, Rock","Bug, Fairy, Fighting, Grass, Ground, Poison"
crocalor,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
croconaw,"Electric, Grass","Fire, Ice, Steel, Water"
crustle,"Rock, Steel, Water","Normal, Poison"
cryogonal,"Fighting, Fire, Rock, Steel",Ice
cubchoo,"Fighting, Fire, Rock, Steel",Ice
cubone,"Grass, Ice, Water","Electric, Poison, Rock"
cufant,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
cursola,"Dark, Ghost","Bug, Fighting, Normal, Poison"
cutiefly,"Fire, Flying, Poison, Rock, Steel","Bug, Dark, Dragon, Fighting, Grass, Ground"
cyclizar,"Dragon, Fairy, Fighting, Ice","Electric, Fire, Ghost, Grass, Water"
cyndaquil,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
dachsbun,"Poison, Steel","Bug, Dark, Dragon, Fighting"
darkrai,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
darmanitan-zen-mode,"Dark, Ghost, Ground, Rock, Water","Fairy, Fighting, Fire, Grass, Ice, Psychic, Steel"
darmanitan,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
dartrix,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
darumaka,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
dawn-wings-necrozma,"Dark, Ghost","Fighting, Normal, Poison, Psychic"
decidueye,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
dedenne,"Ground, Poison","Bug, Dark, Dragon, Electric, Fighting, Flying"
deerling,"Bug, Fighting, Fire, Flying, Ice, Poison","Electric, Ghost, Grass, Ground, Water"
deino,"Bug, Dragon, Fairy, Fighting, Ice","Dark, Electric, Fire, Ghost, Grass, Psychic, Water"
delcatty,Fighting,Ghost
delibird,"Electric, Fire, Rock, Steel","Bug, Grass, Ground"
delphox,"Dark, Ghost, Ground, Rock, Water","Fairy, Fighting, Fire, Grass, Ice, Psychic, Steel"
deoxys-attack-forme,"Bug, Dark, Ghost","Fighting, Psychic"
deoxys-defense-forme,"Bug, Dark, Ghost","Fighting, Psychic"
deoxys-normal-forme,"Bug, Dark, Ghost","Fighting, Psychic"
deoxys-speed-forme,"Bug, Dark, Ghost","Fighting, Psychic"
dewgong,"Electric, Fighting, Grass, Rock","Ice, Water"
dewott,"Electric, Grass","Fire, Ice, Steel, Water"
dewpider,"Electric, Flying, Rock","Fighting, Ground, Ice, Steel, Water"
dhelmise,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
dialga-origin-forme,"Fighting, Ground","Bug, Electric, Flying, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
dialga,"Fighting, Ground","Bug, Electric, Flying, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
diancie,"Grass, Ground, Steel, Water","Bug, Dark, Dragon, Fire, Flying, Normal"
diggersby,"Fighting, Grass, Ice, Water","Electric, Ghost, Poison, Rock"
diglett,"Grass, Ice, Water","Electric, Poison, Rock"
dipplin,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
ditto,Fighting,Ghost
dodrio,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
doduo,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
dolliv,"Bug, Fighting, Fire, Flying, Ice, Poison","Electric, Ghost, Grass, Ground, Water"
dondozo,"Electric, Grass","Fire, Ice, Steel, Water"
donphan,"Grass, Ice, Water","Electric, Poison, Rock"
dottler,"Bug, Dark, Fire, Flying, Ghost, Rock","Fighting, Grass, Ground, Psychic"
doublade,"Dark, Fire, Ghost, Ground","Bug, Dragon, Fairy, Fighting, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
dracovish,"Dragon, Fairy","Fire, Steel, Water"
dracozolt,"Dragon, Fairy, Ground, Ice","Electric, Fire, Flying, Grass, Steel, Water"
dragalge,"Dragon, Ground, Ice, Psychic","Bug, Electric, Fighting, Fire, Grass, Poison, Water"
dragapult,"Dark, Dragon, Fairy, Ghost, Ice","Bug, Electric, Fighting, Fire, Grass, Normal, Poison, Water"
dragonair,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
dragonite,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
drakloak,"Dark, Dragon, Fairy, Ghost, Ice","Bug, Electric, Fighting, Fire, Grass, Normal, Poison, Water"
drampa,"Dragon, Fairy, Fighting, Ice","Electric, Fire, Ghost, Grass, Water"
drapion,Ground,"Dark, Ghost, Grass, Poison, Psychic"
dratini,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
drednaw,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
dreepy,"Dark, Dragon, Fairy, Ghost, Ice","Bug, Electric, Fighting, Fire, Grass, Normal, Poison, Water"
drifblim,"Dark, Electric, Ghost, Ice, Rock","Bug, Fighting, Grass, Ground, Normal, Poison"
drifloon,"Dark, Electric, Ghost, Ice, Rock","Bug, Fighting, Grass, Ground, Normal, Poison"
drilbur,"Grass, Ice, Water","Electric, Poison, Rock"
drizzile,"Electric, Grass","Fire, Ice, Steel, Water"
drowzee,"Bug, Dark, Ghost","Fighting, Psychic"
druddigon,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
dubwool,Fighting,Ghost
ducklett,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
dudunsparce,Fighting,Ghost
dugtrio,"Grass, Ice, Water","Electric, Poison, Rock"
dunsparce,Fighting,Ghost
duosion,"Bug, Dark, Ghost","Fighting, Psychic"
duraludon,"Fighting, Ground","Bug, Electric, Flying, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
durant,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
dusclops,"Dark, Ghost","Bug, Fighting, Normal, Poison"
dusk-mane-necrozma,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
dusknoir,"Dark, Ghost","Bug, Fighting, Normal, Poison"
duskull,"Dark, Ghost","Bug, Fighting, Normal, Poison"
dustox,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
dwebble,"Rock, Steel, Water","Normal, Poison"
eelektrik,Ground,"Electric, Flying, Steel"
eelektross,Ground,"Electric, Flying, Steel"
eevee,Fighting,Ghost
eiscue-ice-face,"Fighting, Fire, Rock, Steel",Ice
eiscue-noice-face,"Fighting, Fire, Rock, Steel",Ice
ekans,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
eldegoss,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
electabuzz,Ground,"Electric, Flying, Steel"
electivire,Ground,"Electric, Flying, Steel"
electrike,Ground,"Electric, Flying, Steel"
electrode,Ground,"Electric, Flying, Steel"
elekid,Ground,"Electric, Flying, Steel"
elgyem,"Bug, Dark, Ghost","Fighting, Psychic"
emboar,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
emolga,"Ice, Rock","Bug, Fighting, Flying, Grass, Ground, Steel"
empoleon,"Electric, Fighting, Ground","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock, Steel, Water"
enamorus-incarnate-forme,"Electric, Ice, Poison, Rock, Steel","Bug, Dark, Dragon, Fighting, Grass, Ground"
enamorus-therian-forme,"Electric, Ice, Poison, Rock, Steel","Bug, Dark, Dragon, Fighting, Grass, Ground"
entei,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
escavalier,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
espartha,"Bug, Dark, Ghost","Fighting, Psychic"
espeon,"Bug, Dark, Ghost","Fighting, Psychic"
espurr,"Bug, Dark, Ghost","Fighting, Psychic"
eternal-flower-floette,"Poison, Steel","Bug, Dark, Dragon, Fighting"
eternamax-eternatus,"Dragon, Ground, Ice, Psychic","Bug, Electric, Fighting, Fire, Grass, Poison, Water"
eternatus,"Dragon, Ground, Ice, Psychic","Bug, Electric, Fighting, Fire, Grass, Poison, Water"
excadrill,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
exeggcute,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
exeggutor,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
exploud,Fighting,Ghost
falinks,"Fairy, Flying, Psychic","Bug, Dark, Rock"
farfetch-039-d,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
farigiraf,"Bug, Dark","Ghost, Psychic"
fearow,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
feebas,"Electric, Grass","Fire, Ice, Steel, Water"
fennekin,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
feraligatr,"Electric, Grass","Fire, Ice, Steel, Water"
ferroseed,"Fighting, Fire","Dragon, Electric, Fairy, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
ferrothorn,"Fighting, Fire","Dragon, Electric, Fairy, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
fezandipiti,"Ground, Psychic, Steel","Bug, Dark, Dragon, Fairy, Fighting, Grass"
fidough,"Poison, Steel","Bug, Dark, Dragon, Fighting"
finizen,"Electric, Grass","Fire, Ice, Steel, Water"
finneon,"Electric, Grass","Fire, Ice, Steel, Water"
flaaffy,Ground,"Electric, Flying, Steel"
flabebe,"Poison, Steel","Bug, Dark, Dragon, Fighting"
flamigo,"Electric, Fairy, Flying, Ice, Psychic","Bug, Dark, Fighting, Grass, Ground"
flapple,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
flareon,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
fletchinder,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
fletchling,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
flittle,"Bug, Dark, Ghost","Fighting, Psychic"
floatzel,"Electric, Grass","Fire, Ice, Steel, Water"
floette,"Poison, Steel","Bug, Dark, Dragon, Fighting"
floragato,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
florges,"Poison, Steel","Bug, Dark, Dragon, Fighting"
