Fast Name,Charged Name,Fast Type,Fast Power,Fast Energy,Fast Power Per Energy,Charged Type,Charged Power,Charged Energy,Charged Power Per Energy,Charged Rate
Present,Night Slash,Normal,3,12,0.25,Dark,50,-35,-1.4285714285714286,3.0
Incinerate,Seed Bomb,Fire,20,20,1.0,Grass,65,-45,-1.4444444444444444,3.0
Incinerate,Psyshock,Fire,20,20,1.0,Psychic,70,-45,-1.5555555555555556,3.0
Incinerate,Ancient Power,Fire,20,20,1.0,Rock,60,-45,-1.3333333333333333,3.0
Incinerate,Rock Tomb,Fire,20,20,1.0,Rock,70,-60,-1.1666666666666667,3.0
Confusion,Shadow Punch,Psychic,16,12,1.3333333333333333,Ghost,40,-35,-1.1428571428571428,3.0
Incinerate,Rock Slide,Fire,20,20,1.0,Rock,75,-45,-1.6666666666666667,3.0
Confusion,Dragon Claw,Psychic,16,12,1.3333333333333333,Dragon,50,-35,-1.4285714285714286,3.0
Incinerate,Power Gem,Fire,20,20,1.0,Rock,80,-60,-1.3333333333333333,3.0
Confusion,Cross Poison,Psychic,16,12,1.3333333333333333,Poison,50,-35,-1.4285714285714286,3.0
Confusion,Aqua Tail,Psychic,16,12,1.3333333333333333,Water,55,-35,-1.5714285714285714,3.0
Confusion,Bone Club,Psychic,16,12,1.3333333333333333,Ground,40,-35,-1.1428571428571428,3.0
Geomancy,Cross Chop,Fairy,4,13,0.3076923076923077,Fighting,55,-35,-1.5714285714285714,3.0
Confusion,Leaf Blade,Psychic,16,12,1.3333333333333333,Grass,70,-35,-2.0,3.0
Confusion,Horn Attack,Psychic,16,12,1.3333333333333333,Normal,40,-35,-1.1428571428571428,3.0
Confusion,Body Slam,Psychic,16,12,1.3333333333333333,Normal,60,-35,-1.7142857142857142,3.0
Incinerate,Ominous Wind,Fire,20,20,1.0,Ghost,45,-45,-1.0,3.0
Incinerate,Shadow Ball,Fire,20,20,1.0,Ghost,100,-55,-1.8181818181818181,3.0
Confusion,Rest,Psychic,16,12,1.3333333333333333,Normal,50,-35,-1.4285714285714286,3.0
Incinerate,Magnet Bomb,Fire,20,20,1.0,Steel,70,-45,-1.5555555555555556,3.0
Incinerate,Iron Head,Fire,20,20,1.0,Steel,70,-50,-1.4,3.0
Incinerate,Shadow Sneak,Fire,20,20,1.0,Ghost,50,-45,-1.1111111111111112,3.0
Splash,Rest,Water,0,12,0.0,Normal,50,-35,-1.4285714285714286,3.0
Incinerate,Aqua Jet,Fire,20,20,1.0,Water,45,-45,-1.0,3.0
Incinerate,Submission,Fire,20,20,1.0,Fighting,60,-50,-1.2,3.0
Splash,Psycho Boost,Water,0,12,0.0,Psychic,70,-35,-2.0,3.0
Splash,Weather Ball Fire,Water,0,12,0.0,Fire,55,-35,-1.5714285714285714,3.0
Incinerate,Drill Run,Fire,20,20,1.0,Ground,80,-45,-1.7777777777777777,3.0
Splash,Weather Ball Ice,Water,0,12,0.0,Ice,55,-35,-1.5714285714285714,3.0
Incinerate,Mega Drain,Fire,20,20,1.0,Grass,25,-55,-0.45454545454545453,3.0
Splash,Weather Ball Rock,Water,0,12,0.0,Rock,55,-35,-1.5714285714285714,3.0
Incinerate,Bug Buzz,Fire,20,20,1.0,Bug,100,-60,-1.6666666666666667,3.0
Splash,Weather Ball Water,Water,0,12,0.0,Water,55,-35,-1.5714285714285714,3.0
Splash,Mirror Shot,Water,0,12,0.0,Steel,35,-35,-1.0,3.0
Confusion,Night Slash,Psychic,16,12,1.3333333333333333,Dark,50,-35,-1.4285714285714286,3.0
Present,Cross Chop,Normal,3,12,0.25,Fighting,55,-35,-1.5714285714285714,3.0
Splash,Muddy Water,Water,0,12,0.0,Water,35,-35,-1.0,3.0
Splash,Razor Shell,Water,0,12,0.0,Water,35,-35,-1.0,3.0
Splash,Power Up Punch,Water,0,12,0.0,Fighting,20,-35,-0.5714285714285714,3.0
Splash,Sacred Sword,Water,0,12,0.0,Fighting,60,-35,-1.7142857142857142,3.0
Splash,Weather Ball Normal,Water,0,12,0.0,Normal,55,-35,-1.5714285714285714,3.0
Splash,Psychic Fangs,Water,0,12,0.0,Psychic,40,-35,-1.1428571428571428,3.0
Splash,Breaking Swipe,Water,0,12,0.0,Dragon,50,-35,-1.4285714285714286,3.0
Splash,Double Iron Bash,Water,0,12,0.0,Steel,50,-35,-1.4285714285714286,3.0
Confusion,Cross Chop,Psychic,16,12,1.3333333333333333,Fighting,55,-35,-1.5714285714285714,3.0
Splash,Fell Stinger,Water,0,12,0.0,Bug,20,-35,-0.5714285714285714,3.0
Gust,Weather Ball Water,Flying,16,12,1.3333333333333333,Water,55,-35,-1.5714285714285714,3.0
Gust,Weather Ball Rock,Flying,16,12,1.3333333333333333,Rock,55,-35,-1.5714285714285714,3.0
Gust,Weather Ball Ice,Flying,16,12,1.3333333333333333,Ice,55,-35,-1.5714285714285714,3.0
Hex,Double Iron Bash,Ghost,6,12,0.5,Steel,50,-35,-1.4285714285714286,3.0
Water Shuriken,Power Up Punch,Water,6,14,0.42857142857142855,Fighting,20,-35,-0.5714285714285714,3.0
Incinerate,Parabolic Charge,Fire,20,20,1.0,Electric,65,-55,-1.1818181818181819,3.0
Bullet Seed,Leaf Blade,Grass,5,13,0.38461538461538464,Grass,70,-35,-2.0,3.0
Present,Dragon Claw,Normal,3,12,0.25,Dragon,50,-35,-1.4285714285714286,3.0
Hex,Breaking Swipe,Ghost,6,12,0.5,Dragon,50,-35,-1.4285714285714286,3.0
Gust,Cross Chop,Flying,16,12,1.3333333333333333,Fighting,55,-35,-1.5714285714285714,3.0
Water Shuriken,Thunder Punch,Water,6,14,0.42857142857142855,Electric,55,-40,-1.375,3.0
Bullet Seed,Body Slam,Grass,5,13,0.38461538461538464,Normal,60,-35,-1.7142857142857142,3.0
Bullet Seed,Rest,Grass,5,13,0.38461538461538464,Normal,50,-35,-1.4285714285714286,3.0
Hex,Psychic Fangs,Ghost,6,12,0.5,Psychic,40,-35,-1.1428571428571428,3.0
Hex,Weather Ball Normal,Ghost,6,12,0.5,Normal,55,-35,-1.5714285714285714,3.0
Bullet Seed,Psycho Boost,Grass,5,13,0.38461538461538464,Psychic,70,-35,-2.0,3.0
Gust,Night Slash,Flying,16,12,1.3333333333333333,Dark,50,-35,-1.4285714285714286,3.0
Hex,Sacred Sword,Ghost,6,12,0.5,Fighting,60,-35,-1.7142857142857142,3.0
Hex,Power Up Punch,Ghost,6,12,0.5,Fighting,20,-35,-0.5714285714285714,3.0
Hex,Razor Shell,Ghost,6,12,0.5,Water,35,-35,-1.0,3.0
Bullet Seed,Weather Ball Fire,Grass,5,13,0.38461538461538464,Fire,55,-35,-1.5714285714285714,3.0
Bullet Seed,Weather Ball Ice,Grass,5,13,0.38461538461538464,Ice,55,-35,-1.5714285714285714,3.0
Water Shuriken,Sacred Sword,Water,6,14,0.42857142857142855,Fighting,60,-35,-1.7142857142857142,3.0
Water Shuriken,Flying Press,Water,6,14,0.42857142857142855,Fighting,90,-40,-2.25,3.0
Bullet Seed,Bone Club,Grass,5,13,0.38461538461538464,Ground,40,-35,-1.1428571428571428,3.0
Bullet Seed,Cross Poison,Grass,5,13,0.38461538461538464,Poison,50,-35,-1.4285714285714286,3.0
Present,Bone Club,Normal,3,12,0.25,Ground,40,-35,-1.1428571428571428,3.0
Bullet Seed,Cross Chop,Grass,5,13,0.38461538461538464,Fighting,55,-35,-1.5714285714285714,3.0
Water Shuriken,Magma Storm,Water,6,14,0.42857142857142855,Fire,65,-40,-1.625,3.0
Water Shuriken,Double Iron Bash,Water,6,14,0.42857142857142855,Steel,50,-35,-1.4285714285714286,3.0
Bullet Seed,Night Slash,Grass,5,13,0.38461538461538464,Dark,50,-35,-1.4285714285714286,3.0
Water Shuriken,Breaking Swipe,Water,6,14,0.42857142857142855,Dragon,50,-35,-1.4285714285714286,3.0
Water Shuriken,Glaciate,Water,6,14,0.42857142857142855,Ice,60,-40,-1.5,3.0
Bullet Seed,Aqua Tail,Grass,5,13,0.38461538461538464,Water,55,-35,-1.5714285714285714,3.0
Water Shuriken,Obstruct,Water,6,14,0.42857142857142855,Dark,15,-40,-0.375,3.0
Bullet Seed,Weather Ball Rock,Grass,5,13,0.38461538461538464,Rock,55,-35,-1.5714285714285714,3.0
Water Shuriken,Brutal Swing,Water,6,14,0.42857142857142855,Dark,65,-40,-1.625,3.0
Water Shuriken,Icicle Spear,Water,6,14,0.42857142857142855,Ice,65,-40,-1.625,3.0
Water Shuriken,Psychic Fangs,Water,6,14,0.42857142857142855,Psychic,40,-35,-1.1428571428571428,3.0
Present,Leaf Blade,Normal,3,12,0.25,Grass,70,-35,-2.0,3.0
Water Shuriken,Weather Ball Normal,Water,6,14,0.42857142857142855,Normal,55,-35,-1.5714285714285714,3.0
Bullet Seed,Dragon Claw,Grass,5,13,0.38461538461538464,Dragon,50,-35,-1.4285714285714286,3.0
Water Shuriken,V Create,Water,6,14,0.42857142857142855,Fire,95,-40,-2.375,3.0
Present,Horn Attack,Normal,3,12,0.25,Normal,40,-35,-1.1428571428571428,3.0
Present,Body Slam,Normal,3,12,0.25,Normal,60,-35,-1.7142857142857142,3.0
Present,Rest,Normal,3,12,0.25,Normal,50,-35,-1.4285714285714286,3.0
Bullet Seed,Shadow Punch,Grass,5,13,0.38461538461538464,Ghost,40,-35,-1.1428571428571428,3.0
Bullet Seed,Weather Ball Water,Grass,5,13,0.38461538461538464,Water,55,-35,-1.5714285714285714,3.0
Gust,Aqua Tail,Flying,16,12,1.3333333333333333,Water,55,-35,-1.5714285714285714,3.0
Bullet Seed,Mirror Shot,Grass,5,13,0.38461538461538464,Steel,35,-35,-1.0,3.0
Gust,Cross Poison,Flying,16,12,1.3333333333333333,Poison,50,-35,-1.4285714285714286,3.0
Gust,Bone Club,Flying,16,12,1.3333333333333333,Ground,40,-35,-1.1428571428571428,3.0
Gust,Leaf Blade,Flying,16,12,1.3333333333333333,Grass,70,-35,-2.0,3.0
Gust,Horn Attack,Flying,16,12,1.3333333333333333,Normal,40,-35,-1.1428571428571428,3.0
Gust,Body Slam,Flying,16,12,1.3333333333333333,Normal,60,-35,-1.7142857142857142,3.0
Gust,Rest,Flying,16,12,1.3333333333333333,Normal,50,-35,-1.4285714285714286,3.0
Present,Weather Ball Rock,Normal,3,12,0.25,Rock,55,-35,-1.5714285714285714,3.0
Hex,Psycho Boost,Ghost,6,12,0.5,Psychic,70,-35,-2.0,3.0
Present,Weather Ball Water,Normal,3,12,0.25,Water,55,-35,-1.5714285714285714,3.0
Hex,Weather Ball Fire,Ghost,6,12,0.5,Fire,55,-35,-1.5714285714285714,3.0
Gust,Psycho Boost,Flying,16,12,1.3333333333333333,Psychic,70,-35,-2.0,3.0
Hex,Body Slam,Ghost,6,12,0.5,Normal,60,-35,-1.7142857142857142,3.0
Hex,Horn Attack,Ghost,6,12,0.5,Normal,40,-35,-1.1428571428571428,3.0
Hex,Leaf Blade,Ghost,6,12,0.5,Grass,70,-35,-2.0,3.0
Gust,Weather Ball Fire,Flying,16,12,1.3333333333333333,Fire,55,-35,-1.5714285714285714,3.0
